Russian,Occidental,Extra Info
кора,cortice,<B>R: </B>cortic|e<BR> кора
занавес,cortine,<B>R: </B>cortin|e<BR> занавес
быть|в|упадке|сил,coruir • corui • coruit,? (мед.) быть в упадке сил
подкупать,corupter,подкупать
корвет,corvete,<B>R: </B>corvet|e<BR> корвет<BR>(specie de nave)
ворон,corvo,<B>R: </B>corv|o<BR> ворон
корифей,coryfe,<B>R: </B>coryfe<BR> корифей<BR>= corife
вещь|дело,cose,"<B>R: </B>cos|e<BR> вещь, дело"
косметический,cosmetic,косметический
косметика,cosmetica,<B>R: </B>cosmetic<BR>~a косметика<BR>-a
косметическое|средство,cosmetico,косметическое средство
мир,cosmo,"<B>R: </B>cosm|o<BR> мир<BR>-ic, -grafie, -gonie, -ogie, -polit = munde"
ребро|бок|берег,coste,"<B>R: </B>cost|e<BR> ребро, бок, берег"
костюм,costume,<B>R: </B>costum|e<BR> костюм
котлета,cotlett • cotlete,<B>R: </B>cotlett<BR>котлета
хлопок|х/б,coton,"<B>R: </B>coton<BR> хлопок, х/б"
высиживать,covar,<B>R: </B>cova|r<BR> высиживать
конверт|убежище|прибежище|маскирующее|устройство|укрытие|завуалированный|затаенный,covert,"<B>R: </B>covert<BR> конверт, убежище, прибежище; маскирующее устройство; укрытие; ~i завуалированный, затаенный"
покрывать,covrir,<B>R: </B>covri|r<BR> покрывать
покрытие,covritura,покрытие
бедро,coxe,бедро
краб,crab,<B>R: </B>crab<BR> краб
скрипеть,cracar,<B>R: </B>craca|r<BR> скрипеть<BR>= dar son de porta mal unguentet
судороги|скобка,cramp,"<B>R: </B>cramp<BR> судороги, скобка<BR>-on"
скоба,crampon,скоба
кран,cran,<B>R: </B>cran<BR> кран<BR>(por charjar)
череп,cranio,<B>R: </B>crani|o<BR> череп
кратер,crater,<B>R: </B>crater<BR> кратер
галстук,cravat(t)e,<B>R: </B>cravat(t)e<BR> галстук
связь,cravatte,связь(галстук)
карандаш,crayon,<B>R: </B>crayon<BR> карандаш<BR>=grafitic
создавать,crear,<B>R: </B>crea|r<BR> создавать
верить|веровать,creder,"<B>R: </B>cred|er<BR> верить, веровать"
кредит,credet,кредит
кредитовать,crediter,"<B>R: </B>credit|er<BR> кредитовать<BR>-, -or, -iv, a-ive"
сливки,crem,<B>R: </B>crem<BR> сливки
креол,creol,<B>R: </B>creol<BR> креол<BR>= blanc nascet in America
разбиваться|лопаться,crepar • crepa • crepat,"разбиваться, лопаться"
бумага|креп|крепдешин|креп|траурная|повязка|гофрированная,crepp,"<B>R: </B>crepp<BR> 1) креп (ткань) crepp de Chin — крепдешин 2) креп, траурная повязка 3) гофрированная бумага"
сумерки,crepuscul,<B>R: </B>crepuscul<BR> сумерки
расти,crescer,<B>R: </B>cresc|er<BR> расти
кресс-салат,cresson,<B>R: </B>cresson<BR> кресс-салат
гребень,crest,<B>R: </B>crest<BR> гребень
мел,cret,<B>R: </B>cret<BR> мел
мел,crete,мел
кретин,cretino,<B>R: </B>cretino<BR> кретин
рак,crev,<B>R: </B>crev<BR> рак<BR>-ete
лопаться|разрываться,crevar,"лопаться, разрываться"
кривошип|рукоятка,creve,"кривошип, рукоятка"
#VALUE!,cri,e?ee
преступление,cri'mine • crimine,<B>R: </B>cri'mine<BR>преступление
кричать,criar • cria • criat,<B>R: </B>cria|r<BR>кричать<BR>-ard
сито,cribell,<B>R: </B>сито
волос,crine,<B>R: </B>crin|e<BR> волос
ясли,crippe,<B>R: </B>ясли
кризис,crise,<B>R: <I>*</B></I> кризис<BR>= crisis
курчавый,crisp,курчавый
виться|завивать,crispar • crispa • crispat,"виться, завивать"
кристалл,cristall,"<B>R: </B>кристалл<BR>-in, -ic, -iform, -ografie, -isar, -erie, -eria"
критика,critic,"<B>R: </B>critic<BR><B>critica</B> критика<BR>-o, -a, -ard, -astro, -ar"
каркать,croacar • croaca • croacat,каркать
крюк,croc,<B>R: </B>крюк
тамбурный|крючек,crochet,"<B>R: </B>тамбурный крючек<BR>-ar, -erie"
крокодил,crocodile • crocodil,<B>R: </B>crocodil|e<BR>крокодил
хром,crom,<B>R: </B>хром<BR>= chrom
время,cron-,"<B>R: </B>cron-<BR> время<BR>-ic, -ica, -ist, -o-logie, -o-metre Gr = tempore"
зоб,cropp,<B>R: </B>зоб
костыль,cruc,<B>R: </B>костыль
крест,cruce,крест
скрестить,crucear • crucea • cruceat,скрестить (<A href='bword://espade'>шпаги</A>)
кружка|кувшин,cruche,"<B>R: </B>cruch|e<BR> кружка, кувшин"
распятие,crucific,<B>R: </B>распятие<BR>-ar
распинать,crucificar,распинать
сырой|грубый,crud,"<B>R: </B>сырой, грубый"
жестокий,cruel • crueli,<B>R: </B>жестокий
жестоко,cruelmen • cruel,жестоко
рухнуть|обвалиться,crular • crula • crulat,"рухнуть, обвалиться"
кроха,crumel,<B>R: </B>кроха
круп,crupe,<B>R: </B>crup|e<BR> круп (лошади)
крупп,crupp,<B>R: </B>crupp<BR> крупп (болезнь)<BR>(maladie)
ляжка,crure,ляжка
смородина,crusbere,смородина
кор|а,cruste • crust,<B>R: </B>кор(к)а
крест,cruz,"<B>R: </B>крест<BR>-ar, -at, -ator, -ero; -ada, --ero"
кокон|насекомых,crysalid,<B>R: </B>crysalid<BR> кокон насекомых<BR>= cocon de insectes
вершина,cu'lmine,<B>R: </B>cu'lmin|e<BR> вершина
тмин,cu'mine,тмин
толпа|скопление|туча,cu'mul,"толпа, скопление, туча"
когда,cuande,когда
куб,cube • cub,<B>R: </B>куб<BR>-ic
огурец,cucombre,огурец <A href='bword://cucumbre'>cucumbre</A>
кукушка,cucu' • cucu,<B>R: </B>кукушка<BR>(avio)
огурец,cucumbre,<B>R: </B>cucumbr|e<BR> огурец
тыква,cucurbit,<B>R: </B>cucurbit<BR> тыква
локоть,cude,"<B>R: </B>cud|e<BR> локоть<BR>-al, a-arse"
чан,cuf,<B>R: </B>чан<BR>ban'e-
забота,cuida,<B>R: </B>cuid|a<BR> забота
заботиться|уделять|внимание|беспокоиться,cuidar • cuida • cuidat • cuidant,"заботиться, уделять внимание, беспокоиться (о чем-либо)"
зад|задница|тыльная|сторона,cul,"зад, задница, тыльная сторона"
кулиса,culisse,<B>R: </B>culiss|e<BR> кулиса
вина|провинность,culp,"<B>R: </B>culp<BR> вина, провинность"
вина,culpa,вина <A href='bword://culp'>culp</A>
культ,cult,"<B>R: <I>(perf)</B></I> культ<BR>-ura, -iv, --ar"
нож,cultel,<B>R: </B><BR>нож
нож,cultelle,нож
культивировать,cultivar,культивировать
тмин,cumine • cumin,<B>R: </B>cumin|(e)<BR>тмин
кто|бы|ни|который|бы|ни,cunc,"<B>R: <I>v.</B></I> кто бы ни, который бы ни<BR>quicunc"
клин,cuneo,<B>R: </B>cune|o<BR> клин
кролик,cunicul,<B>R: </B>кролик
резать,cupar • cupa • cupat,<B>R: </B>cupa|r<BR>резать
купе,cupe' • cupe,<B>R: </B>купе
жадный,cupid,<B>R: </B>жадный
связывать|соединять|сводничать,cuplar,"<B>R: </B>cupla|r<BR> связывать, соединять, сводничать"
пара,cuple,пара
купол,cupol,<B>R: </B>купол
медь,cupre,<B>R: </B>cupr|e<BR> медь
уход|попечение|лечение,cura,"<B>R: </B>уход, попечение, лечение<BR>-ar, -ator, -atela, -ativ, pro-ar, in-abil, a-at"
броня,curasse,"<B>R: </B>curass|e<BR> броня<BR>-ero, nave -at"
любопытный,curios • curiosi,<B>R: </B>любопытный
текущий,current,текущий
бежать,currer • curre • curret • current,<B>R: </B>curr|er<BR><B><I>s</B></I> бежать
беглый,cursori • cursor,беглый
короткий,curt,<B>R: </B>короткий
кривой,curv • curvi,<B>R: </B>кривой
кривая,curve,кривая (линия)
кузэн|двоюродный|брат,cusino,"<B>R: </B>cusin|o<BR> кузэн, двоюродный брат<BR>-a"
подушка,cussine • cussin,<B>R: </B>cussin<BR>подушка
стоить,custar • custa • custat,<B>R: </B>custa|r<BR>стоить
привычка|обычай,custom,"<B>R: </B>привычка, обычай<BR>a-ar"
кожа|кожица,cute,"<B>R: </B>cut|e<BR> кожа, кожица"
тендер,cuttre,<B>R: </B>cuttr|e<BR> тендер<BR>(nave)
цикл,cycle • cicle,"<B>R: </B>cycl|e<BR>цикл<BR>-ic, -ist, -oid, -on, bi-"
циклон,cyclon • ciclon,циклон
лебедь,cygne • cigne,<B>R: </B>лебедь
цилиндр,cylindre,<B>R: </B>cylindr|e<BR> цилиндр
цымбал,cymbal,<B>R: </B>цымбал
цыничный,cynic,<B>R: </B>cyn|ic<BR> цыничный
кипарис,cypress • cipres,<B>R: </B>кипарис
дама,dama,<B>R: </B>дама
вред|убыток,damage,"<B>R: </B>вред, убыток"
осуждать,damnar,<B>R: <I>v.</B></I> осуждать<BR><A href='bword://condamnar'>condamnar</A>
опасность,dangere • dangera,<B>R: </B>danger|e<BR>опасность
опасный,dangerosi • dangeros,опасный
танец,dansa,танец
танцевать,dansar • dansa • dansat,<B>R: </B>dansa|r<BR>танцевать
дать,dar,"<B>R: </B>da|r<BR> дать<BR>-t, --iv"
дата,date • data • dat,<B>R: </B>дата<BR>-ar
финик,datil • datile,<B>R: </B>финик
барсук,dax • daxe,<B>R: </B>барсук
от|из,de,"<B>R: </B>от, из"
оттуда,de ta • de • ta • deta • de-ta,оттуда
дебатировать|дискутировать,debatter • debatte • debattet,"<B>R: </B>debatt|er<BR>дебатировать, дискутировать"
дебет,debet,<B>R: </B>дебет<BR>(commerc.)
слабый,debil,<B>R: </B>слабый
быть|должным,debir • debi • debit,"<B>R: </B>debi|r<BR>быть должным<BR>-t, --or, --e, --ar"
пировать|распутствовать,debochar,"<B>R: </B>deboch|ar<BR> пировать, распутствовать"
дебют,debut,"<B>R: </B>дебют<BR>-ar, -ant"
десять,dec,"<B>R: </B>десять<BR>= 10, -ade, -ene"
приходить|в|упадок,decader • decade • decadet,"<B>R: </B>decad|er<BR>приходить в упадок<BR>-ent, --ie"
декан,decan,<B>R: </B>декан<BR>-atu
декабрь,decembre,<B>R: </B>decembr|e<BR> декабрь
разочаровать,decepter,разочаровать
приличествовать,decer,"<B>R: </B>dec|er<BR> приличествовать<BR>-ent, -ie, -ore"
десять,deci,"десять, 10"
решать,decider • decide • decidet,"<B>R: </B>decid|er<BR><B><I>s</B></I> решать<BR>ion, iv"
решение,decision,решение
решительный,decisiv,решительный
декламировать,declamar • declama • declamat,<B>R: </B>declama|r<BR>декламировать
декларировать|объявлять,declarar • declara • declarat,"<B>R: </B>declara|r<BR>декларировать, объявлять"
спускаться|вниз|наклонять|склонять|заходить,declinar • declina • declinat,"<B>R: </B>declina|r<BR>а) спускаться вниз (о поверх-ти и пр.) б) наклонять(ся), склонять(ся), в) заходить (о небесном теле)"
отлогий,decliv,"<B>R: </B>decliv<BR> отлогий<BR>-e, -i, -ita"
скат|уклон,declive,"скат, уклон"
приготавливать|отвар|отваривать|настаивать|заваривать,decocter • decocte • decoctet,"<B>R: </B>decoct|er<BR><B><I>*</B></I> приготавливать отвар; отваривать; настаивать; заваривать<BR>-ion, -iv"
декольтировать|открывать|шею,decoltar,"декольтировать, открывать шею"
выключить,decomutar • decomuta • decomutat • decomutant,выключить (электр.)
украшать,decorar • decora • decorat,"<B>R: </B>decora|r<BR>украшать<BR>-t, --ion, --iv, --or"
открывать,decovrir • decovri • decovrit,<B>R: </B>de|covr|ir<BR>открывать
открытие,decovrition,открытие
издавать|декрет,decreter • decrete • decretet,"<B>R: </B>decret|er<BR>издавать декрет<BR>-e, -iv, -ori"
отключать,decupar • decupa • decupat,отключать(отрезать)
посвящать,dedicar • dedica • dedicat,<B>R: </B>dedica|r<BR>посвящать
вычитать,deducter,"<B>R: </B>de|duct|er<BR>вычитать<BR>-iv, -ion"
дефект,defecte,<B>R: </B>defect|e<BR> дефект<BR>-iv
защищать,defender,"<B>R: </B>defend|er<BR><I><B>s</B></I> защищать<BR>-e, -iv, -or"
дефицит,deficit,<B>R: </B>дефицит
снмать|с|себя|маршировать,defilar,"<B>R: </B>de|fil|ar<BR>снмать с себя, маршировать"
определять,definir,<B>R: </B>defini|r<BR> определять
деформировать,deformar • deforma • deformat,<B>R: </B>de|form|ar<BR>деформировать
надувать|морочить|обманывать|вводить|в|заблуждение,defraudar • defrauda • defraudat,"<B>R: </B>de|frauda|r<BR>1) надувать, морочить, обманывать, вводить в заблуждение"
таять,degelar • degela • degelat,таять
вырождаться,degenerar • degenera • degenerat,<B>R: </B>de|genera|r<BR>вырождаться
деградировать,degradar • degrada • degradat,<B>R: </B>de|grada|r<BR>деградировать
завтракать,dejeunar • dejeuna • dejeunat,<B>R: </B>dejeuna|r<BR>завтракать <A href='bword://dejunar'>dejunar</A>
дежурить,dejorar • dejora • dejorat,<B>R: </B>dejora|r<BR>дежурить<BR>= esser de servicie
завтракать,dejunar • dejuna • dejunat,завтракать
завтрак,dejune',завтрак
дека-,deka-,"<B>R: </B>deka-<BR> дека-<BR>-metre, -litre etc."
услаждать|тешить,delectar • delecta • delectat,"<B>R: </B>delect|ar<BR>услаждать, тешить"
делегировать,delegar • delega • delegat,"<B>R: </B>de|lega|r<BR>делегировать<BR>-t, --ion"
дельфин,delfin • delfine,<B>R: </B>delfin<BR>дельфин
совещаться,deliberar,<B>R: </B>delibera|r<BR> совещаться
деликатный,delicat,<B>R: </B>деликатный
наслаждение|восхищение,delicie,"<B>R: </B>delici|e<BR> наслаждение, восхищение<BR>-os"
преступление,delict • delicte,<B>R: </B>delict<BR>преступление<BR>= syn. crime
бредить,delirar • delira • delirat,<B>R: </B>delira|r<BR>бредить
завтра,deman,<B>R: </B>завтра
требовать,demandar • demanda • demandat,<B>R: </B>demanda|r<BR>требовать
безумный|сумасшеший,dement,"безумный, сумасшеший"
опровергать|отрицать,dementir • dementi • dementit,"<B>R: </B>dementi|r<BR>опровергать, отрицать"
пол-|половина,demi' • demi,"<B>R: </B>пол-, половина"
носок,demi'-strumpe • deme'-strumpe • deme-strumpe • deme-strumpe • strumpe • strump,носок
слогать|полномоция|уходить|в|отставку|отрекаться,demisser • demisse • demisset,"<B>R: </B>de|miss|er<BR>слогать полномоция; уходить в отставку; отрекаться<BR>-ioin, --ar, ---i"
демократ,democrat • democrate,"<B>R: </B>democrat<BR>демократ<BR>-ic, -ie, -ism, -isar"
разрушать,demolir • demoli • demolit,<B>R: </B>demoli|r<BR>разрушать<BR>-tion
разрушение,demolition,разрушение
демон,demon,"<B>R:</B>демон<BR>-ic, -isar"
показывать,demonstrar • demonstra • demonstrat,<B>R: </B>demonstr|ar<BR>показывать<BR>-ation.
снова,denov,снова
снова,denove,<B>R: </B>de|nov|e<BR> снова
густой|плотный,dens • densi,"<B>R: </B>густой, плотный"
зуб,dente,"<B>R: </B>dent|e<BR> зуб<BR>-al, -age, -at, -ut, -ist, e-at"
кружева,dentelle,<B>R: </B>dentell|e<BR> кружева
порицание|осуждение|открытое|обвинение|донос|угроза|денонсация|отказ|от|договора,denunciar • denuncia • denunciat,"<B>R: </B>de|nunci|ar<BR>1) порицание, осуждение; открытое обвинение 2) донос, угроза, денонсация, отказ от договора<BR>-tion"
департамент,departament,<B>R: </B>departame|nt<BR> департамент
отбывать,departer • departe • departet,отбывать
депеша,depeche,<B>R: </B>depech|e<BR> депеша
зависеть,depender • depende • dependet,<B>R: </B>de|pend|er<BR>зависеть
оплакивать,deplorar • deplora • deplorat,<B>R: </B>de|plor|ar<BR>оплакивать
депо,depo' • depo,<B>R: </B>depo'<BR>депо
высылать|ссылать,deportar • deporta • deportat,"<B>R: </B>de|porta|r<BR>высылать, ссылать"
вкладывать|делать|вклад,deposir,"<B>R: </B>de|posi|r<BR>вкладывать, делать вклад"
вклад,deposit,вклад
потом,depoy,<B>R: </B>потом
развращать|портить|разлагать|растлевать|совращать,depravar • deprava • depravat,"<B>R: </B>deprava|r<BR>развращать; портить, разлагать, растлевать, совращать"
удаляться,deprender • deprende • deprendet,удаляться
подавлять|угнетать,depresser • depresse • depresset,"<B>R: </B>de|press|er<BR>подавлять, угнетать<BR>-ion"
назначать|депутатом|делегировать,deputar,"<B>R: </B>deputa|r<BR> назначать депутатом, делегировать"
осмеять,derider • deride • deridet,<B>R: </B>de|rid|er<BR><B><I>s</B></I> осмеять<BR>-ion
словопроизводство,derivar • deriva • derivat • derivation,<B>R: </B>deriv|ar<BR><B>derivation</B> словопроизводство (словообразование)
кожа,derma,кожа
нарушать,derogar • deroga • derogat,нарушать (закон)
дервиш,dervish,<B>R: </B>dervish<BR> дервиш
дес-|дис-,des-,"<B>R: </B>des-<BR> дес-, дис-<BR>= contrario, manca; -armar, -esperar, -infecter, -unir etc."
освобождать|разгружать|освободить|от|всх|забот,descargar • descarga • descargat,"освобождать, разгружать<BR><B>descargar de omni sucies</B> освободить от всх забот"
опускаться,descender,<B>R: </B>de|scend|er<BR> опускаться<BR>vid. ascender
описывать|обрисовывать,descrir • descri • descrit • descrint,"описывать, обрисовывать"
описательный,descritiv,описательный
с|с|тех|пор|как|вот|уже,desde,"<B>R: </B>desde<BR> с, с тех пор как, вот уже..."
пустой|необитаемый|пустыня,desert • deserti,"<B>R: </B>desert<BR>пустой, необитаемый, пустыня"
дезертировать,deserter • deserte • desertet,"<B>R: </B>desert|er<BR>дезертировать<BR>-or, -ero, -ion"
трудный,desfacil • desfacili,трудный
трудность,desfacilita' • desfacilita,трудность
назначать,designar,<B>R: </B>de|sign|ar<BR> назначать
желание,desir • desire,<B>R: </B>desir<BR>желание
желать,desirar • desira • desirat,желать
развязывать,desligar • desliga • desligat,развязывать
разрушать|опустошать|разорять,desolar • desola • desolat,"разрушать, опустошать, разорять"
досаждать|делать|назло,despecter • despecte • despectet,"<B>R: </B>de|spect|er<BR>досаждать, делать назло<BR>contr. de respecter"
кладовая|чулан|склад,despensa,"кладовая, чулан, склад"
деспот,despot,<B>R: </B>деспот
вздор,desrason,вздор
нести|чепуху|говорить|вздор,desrasonar • desrasona • desrasonat,"нести чепуху, говорить вздор"
десерт,dessert,<B>R: </B>dessert<BR> десерт
рисовать|четить,dessinar,"рисовать, четить"
рисунок,dessine • dessin,<B>R: </B>рисунок
предназначать,destinar • destina • destinat,предназначать
разрушать,destructer • destructe • destructet,разрушать
деталь,detal'e,<B>R: </B>detal'|e<BR>деталь (устар.) <A href='bword://detallie'>detallie</A>
деталь,detallie,деталь
открывать,detecter • detecte • detectet,"<B>R: </B>detect|er<BR>открывать<BR>-iv, -or"
питать|отвращение,detestar • detesta • detestat,питать отвращение
позади,detra,позади
позади,detre,<B>R: </B>detr|e<BR><B><I>nov</B></I> позади (устар.) <A href='bword://detra'>detra</A>
опустошать,devastar • devasta • devastat,<B>R: </B>devasta|r<BR>опустошать
развивать,developar • developa • developat,<B>R: </B>de|velop|ar<BR>развивать
делаться|становиться,devenir • deveni • devenit,"<B>R: </B>de|ven|ir<BR>делаться, становиться"
долженствовать,dever,<B>R: </B>dev|er<BR> долженствовать
раздеваться,devestir • devesti • devestit,раздеваться
отклоняться,deviar • devia • deviat,<B>R: </B>de|via|r<BR><B><I>*</B></I> отклоняться (девиация)<BR>-tion
отклонение,deviation,отклонение
девиз,devise,<B>R: </B>devis|e<BR> девиз
посвящать|преданный,devoer,"<B>R: </B>devo|er<BR> посвящать, ~t - преданный<BR>-t, --ion"
пожирать,devorar • devora • devorat,<B>R: </B>devora|r<BR>пожирать
правая,dextri,правая (рука)
правый,dextri',правый
диабет,diabete,<B>R: </B>diabet|e<BR> диабет<BR>-ic
дьявол,diabol • dia'bol,"<B>R: </B>diabol<BR>дьявол<BR>-ic, -erie"
дьякон,diacon,"<B>R: </B>diacon<BR> дьякон<BR>-essa, -atu"
диадема,diadem,<B>R: </B>diadem<BR> диадема
диафрагма,diafragma,<B>R: </B>diafragm|a<BR> диафрагма
диагноз,diagnose,"<B>R: </B>diagnos|e<BR> диагноз<BR>-ar, -tic, -ica"
диагональ,diagonal,<B>R: </B>diagonal<BR> диагональ
диалект,dialect,"<B>R: </B>dialect<BR> диалект<BR>-ic, --a, --al"
диалог,dialog,"<B>R: </B>dialog<BR> диалог<BR>-ar, -isar"
алмаз,diamant,<B>R: </B>diamant<BR> алмаз
алмаз,diamante,алмаз
диаметр,diametre,<B>R: </B>diametr|e<BR> диаметр
гвоздика,diante,<B>R: </B>diant|e<BR> гвоздика<BR>bot.
диарея,diarre',<B>R: </B>diarre'<BR> диарея<BR>med. (diarrhoe)
диктовать,dictar,"<B>R: </B>dicta|r<BR> диктовать<BR>-t, --or, --ura"
дидактический,didactic,<B>R: </B>didactic<BR> дидактический
день,die,<B>R: </B>di|e<BR> день
портить,difecter,портить
злословить,diffamar • difamar,<B>R: </B>di(f)fama|r<BR>злословить
отличаться,differer • diferer,"<B>R: </B>di(f)fer|er<BR>отличаться<BR>-ent, --ie, ---ar"
преломлять,diffracter • difracter,"<B>R: </B>di(f)fract|er<BR><B><I>*</B></I> преломлять<BR>-ion, -iv, -or"
плотина,dig(a),"<B>R: </B>dig|(a)<BR> плотина<BR>-ar, --ment"
#VALUE!,diga,digo
переваривать,digester,"<B>R: </B>digest|er<BR> переваривать<BR>-ion, -iv, -ibil"
#VALUE!,digital,digxita
достойный,digni,"<B>R: </B>dign|i<BR> достойный<BR>-ta, -ar"
расширить,dilatar,<B>R: </B>dilat|ar<BR> расширить
дилемма,dilemma,<B>R: </B>dilemma<BR> дилемма
быть|любителем|в,dilettar,"<B>R: </B>dilett|ar<BR> быть любителем в<BR>-nt, --ic, --ism"
прилежный,diligent,<B>R: </B>diligent<BR> прилежный
укроп,dill • dille,укроп
растворять,diluer,<B>R: </B>dilu|er<BR> растворять
ливень|потоп,diluvie,"<B>R: </B>diluvi|e<BR> ливень, потоп"
измерение,dimension,<B>R: </B>dimension<BR> измерение
уменьшать|убавлять,diminuer • diminue • diminuet,"<B>R: </B>diminu|er<BR>уменьшать(ся), убавлять(ся)<BR>= di-miss-er"
уменьшать|убавлять,dimisser,"<B>R: </B>di|miss|er<BR> уменьшать(ся), убавлять(ся)"
активный|действующий|работающий,dinam • dynam,"<B>R: </B>dinam<BR> активный, действующий, работающий,<BR>= dynam"
обед,dine' • dine,<B>R: </B>dine'<BR>обед<BR>-ar
диплом,diplom,<B>R: </B>диплом
дипломат,diplomat,<B>R: </B>дипломат
сказать|говорить,dir • di • dit,"<B>R: </B>di|r<BR>сказать, говорить"
упралять|направлять,directer,"<B>R: </B>direct|er<BR> упралять, направлять<BR>-ion, -iv, --e, -or, --atu, --ia"
направление,direction,направление
дирижировать,diriger,"<B>R: </B>dirig|er<BR> дирижировать<BR>-ero, -ent = directer un dansa o musica."
раз-,dis-,<B>R: </B>dis-<BR> раз-<BR>(di-) = move in divers directiones
воспитанник,disciplo,"<B>R: </B>discipl|o<BR> воспитанник<BR>-ina, --r"
отдельный|обособленный,discret,"<B>R: </B>discret<BR> отдельный, обособленный"
речь|выступление,discurs • discurse,"<B>R: </B>discurs<BR>речь, выступление<BR>-ion, -er"
дискутировать,discusser,"<B>R: </B>discuss|er<BR> дискутировать<BR>-ion, -iv"
несоизмеримый,disparat,<B>R: </B>disparat<BR> несоизмеримый
увольнять|освобождать,dispensar,"<B>R: </B>dispens|ar<BR> увольнять, освобождать"
рассеивать,disperser,<B>R: </B>dispers|er<BR><I><B>*</B></I> рассеивать<BR>-ion
располагать,disponer,<B>R: </B>dispon|er<BR> располагать<BR>-ent
помещать|размещать|располагать|распределять|расставлять,disposir,"<B>R: </B>dis|posi|r<BR> помещать, размещать, располагать, распределять, расставлять<BR>vide posir, -tion"
дискутировать,disputar,<B>R: </B>disputa|r<BR> дискутировать
разрывать,disraffar • disraffa • disraffat,разрывать
рассеивать,dissipar,<B>R: </B>dissipa|r<BR><I><B>*</B></I> рассеивать
быть|отдаленным|от,distar,"<B>R: </B>dista|r<BR> быть отдаленным от<BR>= dis-star, -ntie"
дистилировать,distillar,<B>R: </B>distilla|r<BR> дистилировать
различать,distin'er,<B>R: </B>distin'|er<BR> различать<BR>-tion
отличать|различать,distinter • distinte • distintet,"отличать, различать"
забывчивый,distractet,забывчивый
распределять|раздавать|распространять,distribuer,"<B>R: </B>dis|tribu|er<BR> распределять, раздавать; распространять<BR>-tion"
район|округ|область,districte,"<B>R: </B>district|e<BR> район, округ; область"
развернуть,disvoluer • disvolue • disvoluet,развернуть (обёртку)
диван,divan,<B>R: </B>divan<BR> диван
различный|различающийся,divergent • diverger,"различный, различающийся"
расходиться|отходить|отклоняться|уклоняться|перен|отходить|отклоняться,diverger,"<B>R: </B>di|verg|er<BR><I><B>s</B></I> 1) расходиться (от), отходить; отклоняться; уклоняться (к) 2) перен. отходить, отклоняться<BR>-ion"
различный,divers,<B>R: </B>divers<BR> различный
различный,diversi,различный
развлекаться|увеселяться,divertisser,"<B>R: </B>divertiss|er<BR> развлекаться, увеселяться<BR>-ement"
делить,divider,<B>R: </B>divid|er<BR><I><B>s</B></I> делить
божественный,divin,<B>R: </B>divin<BR> божественный
гадать,divinar,<B>R: </B>divin|ar<BR> гадать
разводиться|расторгать|брак,divorciar,"разводиться, расторгать брак"
публиковать|пропагандировать,divulgar,"<B>R: </B>divulga|r<BR> публиковать, пропагандировать<BR>= publicar, propagar"
ведь|же|значит|итак,do,"<B>R: </B>do<BR> ведь, же, значит, итак"
господин,do'mino,"<B>R: </B>do'min|o<BR> господин<BR>-ar, -ation, -ia, -ion, -ic, -ant"
таможня,doane,<B>R: </B>doan|e<BR> таможня
док,docc,<B>R: </B>docc<BR> док
обучать,docer,<B>R: </B>doc|er<BR> обучать<BR>= syn. instructer
восприимчивый,docil,восприимчивый
опытный,doct,опытный
доктор,doctor,<B>R: </B>doctor<BR> доктор
доктрина,doctrina,<B>R: </B>doctrina<BR> доктрина
документ,document,<B>R: </B>document<BR> документ
тихо|притаившись,dogg,"<B>R: </B>dogg<BR> тихо, притаившись"
догма,dogma,<B>R: </B>dogma<BR> догма<BR>-(t)
болеть,doler,"<B>R: </B>dol|er<BR> болеть<BR>-ent, --ie, -ore, --ar, --osi"
боль,dolore,боль
дом,dom,"<B>R: </B>dom<BR> дом<BR>-est-ic = essent in dom, ---ita', ---al, ---ar, ---abil, ---ation"
домашний,domestic,домашний
местожительство,domicilie,(постоянное) местожительство
сфера|облать|применения,dominia,"сфера, облать применения"
хозяин|владелец,domino,"хозяин, владелец"
укрощать,domitar,<B>R: </B>domita|r<BR> укрощать
подарок,don,<B>R: </B>don<BR> подарок
баловать,dorlotar,"<B>R: </B>dorlota|r<BR> баловать<BR>= caressar, afeminar"
спать,dormir,<B>R: </B>dormi|r<BR> спать
спина,dors,<B>R: </B>dors<BR> спина
навага,dorsc,<B>R: </B>dorsc<BR> навага<BR>(pisc)
назад,dorse,назад
доза,dos(a),<B>R: </B>dos|(a)<BR> доза
приданое,dot,"<B>R: </B>dot<BR> приданое<BR>-ar, -at, -ion"
дюжина,dozen,<B>R: </B>dozen<BR> дюжина
молотить,drachar,<B>R: </B>drach|ar<BR> молотить
дракон,dracon,<B>R: </B>dracon<BR> дракон<BR>= monstruo fabulari
драга,dragg,<B>R: </B>dragg<BR> драга<BR>(specie de ancre)
драгун,dragon,<B>R: </B>dragon<BR> драгун<BR>= specie de cavallerie
драма,drama,"<B>R: </B>drama<BR><I><B>t</B></I> драма<BR>, -ic, -isar, -urg, -ie"
сукно|платок|простыня,drap,"<B>R: </B>drap<BR> сукно, платок, простыня<BR>-ar, -erie"
сильнодействующий|интенсивный|решительный|радикальный|глубокий|резкий,drastic,<B>R: </B>drastic<BR> сильнодействующий (о лекарстве); интенсивный; решительный; радикальный глубокий; резкий
иссушать,drenar,"<B>R: </B>dren|ar<BR> иссушать<BR>-agie, -uore"
дресировать,dresser,<B>R: </B>dress|er<BR> дресировать<BR>-ura
